Week,journalist death,journalist killed,journalist missing,Freedom of speech,imprisoned,Country
3/4/2018,0,0,0,27,8,Turkey
3/11/2018,0,0,0,20,0,Turkey
3/18/2018,0,0,0,56,8,Turkey
3/25/2018,0,0,0,52,8,Turkey
4/1/2018,0,0,0,46,12,Turkey
4/8/2018,0,0,0,37,8,Turkey
4/15/2018,0,0,0,54,0,Turkey
4/22/2018,0,0,0,34,9,Turkey
4/29/2018,0,0,0,46,0,Turkey
5/6/2018,0,0,0,45,0,Turkey
5/13/2018,0,0,0,55,8,Turkey
5/20/2018,0,0,0,36,16,Turkey
5/27/2018,0,0,0,28,8,Turkey
6/3/2018,0,0,0,25,8,Turkey
6/10/2018,0,0,0,14,18,Turkey
6/17/2018,0,0,0,17,0,Turkey
6/24/2018,0,0,0,24,8,Turkey
7/1/2018,0,0,0,17,9,Turkey
7/8/2018,0,0,0,13,12,Turkey
7/15/2018,0,0,0,17,9,Turkey
7/22/2018,0,0,0,34,9,Turkey
7/29/2018,0,0,0,25,0,Turkey
8/5/2018,0,0,0,12,0,Turkey
8/12/2018,0,0,0,8,8,Turkey
8/19/2018,0,0,0,22,0,Turkey
8/26/2018,0,0,0,25,8,Turkey
9/2/2018,0,0,0,8,8,Turkey
9/9/2018,0,0,0,21,8,Turkey
9/16/2018,0,0,0,9,9,Turkey
9/23/2018,0,0,0,25,8,Turkey
9/30/2018,0,0,0,85,8,Turkey
10/7/2018,0,0,0,100,0,Turkey
10/14/2018,0,0,0,52,17,Turkey
10/21/2018,0,0,0,21,8,Turkey
10/28/2018,0,0,0,26,9,Turkey
11/4/2018,0,0,0,33,8,Turkey
11/11/2018,0,0,0,46,8,Turkey
11/18/2018,0,0,0,33,8,Turkey
11/25/2018,0,0,0,28,0,Turkey
12/2/2018,0,0,0,29,8,Turkey
12/9/2018,0,0,0,16,8,Turkey
12/16/2018,0,0,0,29,0,Turkey
12/23/2018,0,0,0,50,8,Turkey
12/30/2018,0,0,0,29,0,Turkey
1/6/2019,0,0,0,32,0,Turkey
1/13/2019,0,0,0,20,0,Turkey
1/20/2019,0,0,0,29,0,Turkey
1/27/2019,0,0,0,37,8,Turkey
2/3/2019,0,0,0,12,0,Turkey
2/10/2019,0,0,0,8,0,Turkey
2/17/2019,0,0,0,41,8,Turkey
2/24/2019,0,0,0,60,60,Turkey
