Week,journalist death,journalist killed,journalist missing,Freedom of speech,imprisoned,Country
3/4/2018,1,2,0,45,14,UK
3/11/2018,3,1,0,57,19,UK
3/18/2018,0,4,0,77,12,UK
3/25/2018,1,1,0,55,16,UK
4/1/2018,1,3,0,39,18,UK
4/8/2018,2,6,1,33,17,UK
4/15/2018,1,5,1,39,14,UK
4/22/2018,3,4,0,39,17,UK
4/29/2018,3,4,0,42,17,UK
5/6/2018,2,3,0,100,16,UK
5/13/2018,2,5,0,34,22,UK
5/20/2018,0,2,0,37,21,UK
5/27/2018,6,6,1,49,24,UK
6/3/2018,2,3,0,39,25,UK
6/10/2018,3,3,2,39,12,UK
6/17/2018,2,1,2,31,24,UK
6/24/2018,1,2,1,30,17,UK
7/1/2018,1,2,0,31,16,UK
7/8/2018,2,1,0,32,18,UK
7/15/2018,1,2,0,26,16,UK
7/22/2018,1,1,0,20,13,UK
7/29/2018,1,1,0,26,25,UK
8/5/2018,1,3,2,47,18,UK
8/12/2018,2,15,0,31,12,UK
8/19/2018,3,1,1,28,16,UK
8/26/2018,2,1,1,24,19,UK
9/2/2018,2,4,0,36,17,UK
9/9/2018,1,5,0,29,22,UK
9/16/2018,0,3,0,25,16,UK
9/23/2018,1,3,1,27,17,UK
9/30/2018,3,1,0,24,20,UK
10/7/2018,5,14,10,36,19,UK
10/14/2018,6,33,27,36,31,UK
10/21/2018,6,50,6,48,22,UK
10/28/2018,3,15,2,31,15,UK
11/4/2018,3,8,1,45,14,UK
11/11/2018,2,5,2,36,17,UK
11/18/2018,2,9,9,30,25,UK
11/25/2018,6,2,1,31,20,UK
12/2/2018,2,2,0,30,19,UK
12/9/2018,0,2,0,33,23,UK
12/16/2018,2,2,1,21,16,UK
12/23/2018,2,5,0,14,18,UK
12/30/2018,4,4,1,25,17,UK
1/6/2019,0,1,1,32,16,UK
1/13/2019,4,4,0,30,23,UK
1/20/2019,3,2,0,30,22,UK
1/27/2019,3,2,0,33,19,UK
2/3/2019,4,6,1,29,18,UK
2/10/2019,2,3,0,43,23,UK
2/17/2019,2,3,0,33,20,UK
2/24/2019,0,8,0,50,21,UK
