Week,journalist death,journalist killed,journalist missing,Freedom of speech,imprisoned,Country
3/4/2018,1,1,0,86,17,USA
3/11/2018,1,1,0,84,17,USA
3/18/2018,1,1,0,82,14,USA
3/25/2018,1,2,0,79,20,USA
4/1/2018,0,2,0,67,17,USA
4/8/2018,1,4,0,79,15,USA
4/15/2018,1,5,0,85,18,USA
4/22/2018,0,4,0,86,20,USA
4/29/2018,0,1,0,75,17,USA
5/6/2018,0,1,0,73,18,USA
5/13/2018,1,1,0,65,15,USA
5/20/2018,0,1,1,72,15,USA
5/27/2018,4,14,0,84,16,USA
6/3/2018,1,1,0,44,13,USA
6/10/2018,1,1,0,41,14,USA
6/17/2018,1,2,0,41,14,USA
6/24/2018,1,4,0,39,12,USA
7/1/2018,1,2,0,48,12,USA
7/8/2018,0,2,0,43,13,USA
7/15/2018,0,2,0,41,14,USA
7/22/2018,1,1,0,38,14,USA
7/29/2018,1,2,0,47,12,USA
8/5/2018,1,1,0,63,12,USA
8/12/2018,1,1,1,51,11,USA
8/19/2018,4,1,0,51,13,USA
8/26/2018,1,1,0,60,13,USA
9/2/2018,1,1,0,88,16,USA
9/9/2018,1,1,0,75,13,USA
9/16/2018,0,1,0,85,17,USA
9/23/2018,1,1,0,86,16,USA
9/30/2018,0,2,0,80,13,USA
10/7/2018,4,56,32,75,15,USA
10/14/2018,9,100,46,80,16,USA
10/21/2018,5,46,5,83,16,USA
10/28/2018,1,11,2,93,16,USA
11/4/2018,1,7,0,81,17,USA
11/11/2018,1,6,0,82,15,USA
11/18/2018,1,15,0,49,11,USA
11/25/2018,1,6,1,88,15,USA
12/2/2018,1,5,0,98,18,USA
12/9/2018,1,7,1,96,16,USA
12/16/2018,1,4,1,66,17,USA
12/23/2018,0,4,0,24,10,USA
12/30/2018,1,2,0,32,15,USA
1/6/2019,1,2,0,65,16,USA
1/13/2019,0,3,1,72,16,USA
1/20/2019,1,2,0,67,15,USA
1/27/2019,1,1,0,63,16,USA
2/3/2019,0,4,0,77,16,USA
2/10/2019,1,1,0,78,19,USA
2/17/2019,1,1,0,81,15,USA
2/24/2019,0,4,0,53,24,USA
